#{"t_start": 1777350605.8276756, "env_id": "None"}
r,l,t,episode_metrics
-993.714286,916,12.571574,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 6.869999885559082, 'distance': 57.94365692138672, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-993.714286,914,21.860575,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 7.460000038146973, 'distance': 65.22045135498047, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-993.714286,870,32.441134,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 7.039999961853027, 'distance': 76.45047760009766, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-993.714286,760,41.748654,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 5.949999809265137, 'distance': 68.86380767822266, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-996.857143,705,50.520183,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 5.519999980926514, 'distance': 42.1956672668457, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-993.714286,725,59.640711,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 5.840000152587891, 'distance': 57.80353927612305, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-993.714286,1021,71.963251,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 8.859999656677246, 'distance': 63.40644836425781, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-993.714286,1069,84.3408,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 9.039999961853027, 'distance': 56.71967697143555, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-993.714286,941,95.396799,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 7.699999809265137, 'distance': 58.92009735107422, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-990.571429,1040,107.363351,"{'term': -1.0, 'progress': 8.571428571428571, 'time': 8.65999984741211, 'distance': 78.37510681152344, 'fitness': -991428571.4285715, 'progress_delta': 0.0, 'last_reward_progress': 8.571428571428571, 'reward': -991.4285714285714}"
-993.714286,1079,119.904934,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 9.100000381469727, 'distance': 64.94280242919922, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-993.714286,905,130.676933,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 7.480000019073486, 'distance': 58.00169372558594, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-996.857143,683,139.295467,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 5.300000190734863, 'distance': 39.288936614990234, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
