#{"t_start": 1777351104.5269413, "env_id": "None"}
r,l,t,episode_metrics
-993.714286,997,12.782225,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 7.880000114440918, 'distance': 71.05147552490234, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-990.571429,859,21.925776,"{'term': -1.0, 'progress': 8.571428571428571, 'time': 7.519999980926514, 'distance': 76.83682250976562, 'fitness': -991428571.4285715, 'progress_delta': 0.0, 'last_reward_progress': 8.571428571428571, 'reward': -991.1428571428571}"
-993.714286,754,31.549775,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 6.340000152587891, 'distance': 64.39830017089844, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-993.714286,1075,44.532373,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 9.529999732971191, 'distance': 70.67902374267578, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-993.714286,874,55.335979,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 7.53000020980835, 'distance': 61.73419952392578, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-996.857143,648,63.939042,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 5.340000152587891, 'distance': 31.040889739990234, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-993.714286,790,74.860093,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 7.659999847412109, 'distance': 56.019508361816406, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -993.9999999999999}"
-990.571429,993,87.04109,"{'term': -1.0, 'progress': 8.571428571428571, 'time': 8.84000015258789, 'distance': 76.84937286376953, 'fitness': -991428571.4285715, 'progress_delta': 0.0, 'last_reward_progress': 8.571428571428571, 'reward': -991.1428571428571}"
-996.857143,651,95.586623,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 5.289999961853027, 'distance': 40.35386276245117, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-993.714286,785,105.658161,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 6.760000228881836, 'distance': 50.059539794921875, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -993.9999999999999}"
-993.714286,820,115.847227,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 6.949999809265137, 'distance': 75.045166015625, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-993.714286,1025,128.172019,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 9.069999694824219, 'distance': 70.5694351196289, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -994.2857142857142}"
-996.857143,658,136.841022,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 5.340000152587891, 'distance': 44.56719207763672, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
