#{"t_start": 1777362906.4614065, "env_id": "None"}
r,l,t,episode_metrics
-1000.0,194,8.213456,"{'term': -1.0, 'progress': 0.0, 'time': 2.299999952316284, 'distance': 5.936104774475098, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,174,11.91965,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 1.027815818786621, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,400,19.484365,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 5.96999979019165, 'distance': 23.595430374145508, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-1000.0,287,25.044318,"{'term': -1.0, 'progress': 0.0, 'time': 3.930000066757202, 'distance': 14.979839324951172, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,184,30.239898,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 3.0600967407226562, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,186,35.715601,"{'term': -1.0, 'progress': 0.0, 'time': 2.0399999618530273, 'distance': 4.039663314819336, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-993.714286,600,48.275494,"{'term': -1.0, 'progress': 5.714285714285714, 'time': 9.359999656677246, 'distance': 51.04298782348633, 'fitness': -994285714.2857143, 'progress_delta': 0.0, 'last_reward_progress': 5.714285714285714, 'reward': -993.9999999999999}"
-996.857143,438,58.104749,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 6.590000152587891, 'distance': 44.79705047607422, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-987.428571,1037,78.801651,"{'term': -1.0, 'progress': 11.428571428571429, 'time': 17.290000915527344, 'distance': 127.79629516601562, 'fitness': -988571428.5714285, 'progress_delta': 0.0, 'last_reward_progress': 11.428571428571429, 'reward': -988.5714285714286}"
-996.857143,295,86.032882,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.9200000762939453, 'distance': 24.137117385864258, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-996.857143,345,94.155932,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.840000152587891, 'distance': 29.444704055786133, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,266,100.98663,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.4700000286102295, 'distance': 21.707393646240234, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-1000.0,245,107.321361,"{'term': -1.0, 'progress': 0.0, 'time': 3.109999895095825, 'distance': 19.563674926757812, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,266,114.04009,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.430000066757202, 'distance': 21.327491760253906, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-996.857143,254,120.525006,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.2100000381469727, 'distance': 20.74251937866211, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-1000.0,213,126.257,"{'term': -1.0, 'progress': 0.0, 'time': 2.440000057220459, 'distance': 15.892472267150879, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,304,133.670161,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.119999885559082, 'distance': 22.530284881591797, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,303,141.039481,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.130000114440918, 'distance': 24.651084899902344, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-1000.0,216,147.08621,"{'term': -1.0, 'progress': 0.0, 'time': 2.6700000762939453, 'distance': 17.163793563842773, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,239,153.621765,"{'term': -1.0, 'progress': 0.0, 'time': 3.009999990463257, 'distance': 16.510845184326172, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,251,160.164026,"{'term': -1.0, 'progress': 0.0, 'time': 3.1500000953674316, 'distance': 18.126798629760742, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,335,168.198843,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.690000057220459, 'distance': 23.644573211669922, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-1000.0,181,173.523809,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 12.746380805969238, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,245,179.935353,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0199999809265137, 'distance': 21.643125534057617, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
-996.857143,240,186.221121,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.009999990463257, 'distance': 26.18655776977539, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,242,192.723691,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.009999990463257, 'distance': 34.1723747253418, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,240,199.125931,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0199999809265137, 'distance': 24.263378143310547, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,352,207.494135,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.980000019073486, 'distance': 41.818359375, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,239,213.826483,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0199999809265137, 'distance': 27.19025421142578, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,332,221.85886,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.639999866485596, 'distance': 41.703121185302734, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-1000.0,221,227.879974,"{'term': -1.0, 'progress': 0.0, 'time': 2.6700000762939453, 'distance': 18.31328773498535, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,241,234.228277,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0199999809265137, 'distance': 26.998579025268555, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-1000.0,224,240.299647,"{'term': -1.0, 'progress': 0.0, 'time': 2.690000057220459, 'distance': 18.162534713745117, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-1000.0,225,246.43124,"{'term': -1.0, 'progress': 0.0, 'time': 2.819999933242798, 'distance': 20.404277801513672, 'fitness': -1000000000.0, 'progress_delta': 0.0, 'last_reward_progress': 0.0, 'reward': -1000.0}"
-996.857143,240,252.825397,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.009999990463257, 'distance': 22.558349609375, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,235,259.419339,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.009999990463257, 'distance': 24.700027465820312, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,243,265.832834,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.0199999809265137, 'distance': 26.350261688232422, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -997.1428571428572}"
-996.857143,260,272.596922,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 3.369999885559082, 'distance': 28.91440200805664, 'fitness': -997142857.1428572, 'progress_delta': 0.0, 'last_reward_progress': 2.857142857142857, 'reward': -996.8571428571429}"
