#{"t_start": 1777457424.5316324, "env_id": "None"}
r,l,t,episode_metrics
-1000.0,360,7.500505,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 2.0729734897613525, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,400,11.585984,"{'term': -1.0, 'progress': 0.0, 'time': 2.5, 'distance': 4.93669319152832, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-988.571429,1011,22.043713,"{'term': -1.0, 'progress': 11.428571428571429, 'time': 8.850000381469727, 'distance': 103.63953399658203, 'fitness': -988571428.5714285, 'fitness_delta_score': -988.5714285714286, 'last_fitness_delta_score': -988.5714285714286, 'last_fitness_delta_progress': 11.428571428571429, 'reward': -1000.0}"
-1000.0,151,25.595596,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 0.2545102834701538, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-997.142857,395,31.701398,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.510000228881836, 'distance': 34.91056823730469, 'fitness': -997142857.1428572, 'fitness_delta_score': -997.1428571428572, 'last_fitness_delta_score': -997.1428571428572, 'last_fitness_delta_progress': 2.857142857142857, 'reward': -1000.0000000000001}"
-1000.0,235,36.212776,"{'term': -1.0, 'progress': 0.0, 'time': 2.9200000762939453, 'distance': 19.308029174804688, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,167,39.954713,"{'term': -1.0, 'progress': 0.0, 'time': 2.1700000762939453, 'distance': 6.651980400085449, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,274,44.825552,"{'term': -1.0, 'progress': 0.0, 'time': 3.240000009536743, 'distance': 18.23436737060547, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,318,50.154456,"{'term': -1.0, 'progress': 0.0, 'time': 3.7699999809265137, 'distance': 16.351530075073242, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,358,55.918794,"{'term': -1.0, 'progress': 0.0, 'time': 4.130000114440918, 'distance': 12.969758033752441, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,205,60.112652,"{'term': -1.0, 'progress': 0.0, 'time': 2.630000114440918, 'distance': 18.07506561279297, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,119,64.64959,"{'term': -1.0, 'progress': 0.0, 'time': 2.9700000286102295, 'distance': 16.447147369384766, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,134,69.025346,"{'term': -1.0, 'progress': 0.0, 'time': 2.740000009536743, 'distance': 15.916744232177734, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,94,72.595565,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 1.3602336645126343, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,80,76.190024,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 0.7708595991134644, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,75,79.798009,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 2.938894510269165, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-997.142857,172,85.523884,"{'term': -1.0, 'progress': 2.857142857142857, 'time': 4.130000114440918, 'distance': 43.899620056152344, 'fitness': -997142857.1428572, 'fitness_delta_score': -997.1428571428572, 'last_fitness_delta_score': -997.1428571428572, 'last_fitness_delta_progress': 2.857142857142857, 'reward': -1000.0000000000001}"
-1000.0,74,89.202986,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 0.35397276282310486, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,79,92.787048,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 2.354832887649536, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,86,96.40835,"{'term': -1.0, 'progress': 0.0, 'time': 2.0299999713897705, 'distance': 4.052655220031738, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,148,101.149655,"{'term': -1.0, 'progress': 0.0, 'time': 3.1700000762939453, 'distance': 17.598522186279297, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,70,104.798201,"{'term': -1.0, 'progress': 0.0, 'time': 2.0199999809265137, 'distance': 1.8545341491699219, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
-1000.0,70,108.387713,"{'term': -1.0, 'progress': 0.0, 'time': 2.009999990463257, 'distance': 0.03093314915895462, 'fitness': -1000000000.0, 'fitness_delta_score': -1000.0, 'last_fitness_delta_score': -1000.0, 'last_fitness_delta_progress': 0.0, 'reward': -1000.0}"
