attempt_index,saved,num_frames,finish_time,total_progress,distance,path
1,0,97,1.1799999475479126,0.0,0.013936040922999382,
2,0,885,8.720000267028809,42.857142857142854,404.8316345214844,
3,0,1211,11.5600004196167,60.71428571428571,606.292724609375,
4,0,1338,12.75,71.42857142857143,697.8598022460938,
5,0,968,9.4399995803833,50.0,447.4073791503906,
6,0,798,7.909999847412109,35.714285714285715,345.0404968261719,
7,1,1343,16.190000534057617,100.0,961.7196044921875,logs/supervised_data\20260317_230118_map_AI Training #4_target_dataset\attempts\attempt_0007.npz
8,0,1212,12.960000038146973,71.42857142857143,732.7411499023438,
9,0,1427,15.729999542236328,100.0,972.275634765625,
10,0,858,8.779999732971191,42.857142857142854,406.11846923828125,
11,0,35,0.3400000035762787,0.0,0.8423091769218445,
12,0,942,9.239999771118164,46.42857142857143,436.93426513671875,
13,0,939,10.359999656677246,53.57142857142857,518.6699829101562,
14,0,983,9.699999809265137,53.57142857142857,476.912353515625,
15,1,1264,15.640000343322754,100.0,974.63232421875,logs/supervised_data\20260317_230118_map_AI Training #4_target_dataset\attempts\attempt_0015.npz
16,1,1348,15.569999694824219,100.0,953.3338623046875,logs/supervised_data\20260317_230118_map_AI Training #4_target_dataset\attempts\attempt_0016.npz
