frame,wall_time,game_time,progress,path_tile_index,speed,side_speed,steer,gas,brake,gear,rpm,wetness,segment_heading_error,next_segment_heading_error,fl_material_id,fl_material_name,fl_contact,fl_slip,fl_icing,fl_dirt,fr_material_id,fr_material_name,fr_contact,fr_slip,fr_icing,fr_dirt,rl_material_id,rl_material_name,rl_contact,rl_slip,rl_icing,rl_dirt,rr_material_id,rr_material_name,rr_contact,rr_slip,rr_icing,rr_dirt
0,1777369187.984343,39.500000,0.000000,0,12.077801,-0.448400,0.000000,0.000000,1.000000,1.000000,4510.153809,0.000000,-0.020390,-0.020390,77,Plastic,1,1.000000,0.000000,0.000000,77,Plastic,1,1.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
1,1777369187.994338,39.540001,0.000000,0,11.539001,-0.402200,1.000000,0.000000,1.000000,1.000000,4378.153809,0.000000,-0.005591,-0.005591,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
2,1777369188.003342,39.549999,0.000000,0,11.168000,-0.488400,1.000000,0.000000,1.000000,1.000000,4322.153809,0.000000,-0.000679,-0.000679,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
3,1777369188.012339,39.560001,0.000000,0,11.008801,-0.529800,1.000000,0.000000,1.000000,1.000000,4298.153809,0.000000,0.001161,0.001161,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
4,1777369188.023335,39.560001,0.000000,0,10.822600,-0.578100,1.000000,0.000000,1.000000,1.000000,4270.153809,0.000000,0.003068,0.003068,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
5,1777369188.033339,39.580002,0.000000,0,10.487600,-0.572600,1.000000,0.000000,1.000000,1.000000,4218.153809,0.000000,0.005851,0.005851,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
6,1777369188.042336,39.590000,0.000000,0,10.138401,-0.541800,1.000000,0.000000,1.000000,1.000000,4162.153809,0.000000,0.007911,0.007911,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
7,1777369188.052336,39.599998,0.000000,0,9.991601,-0.528800,1.000000,0.000000,1.000000,1.000000,4138.153809,0.000000,0.008548,0.008548,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
8,1777369188.061339,39.610001,0.000000,0,9.493800,-0.455600,0.000000,0.000000,1.000000,1.000000,4082.153809,0.000000,0.009396,0.009396,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
9,1777369188.072339,39.619999,0.000000,0,9.256001,-0.400200,0.000000,0.000000,1.000000,1.000000,4032.153809,0.000000,0.009673,0.009673,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
10,1777369188.081342,39.630001,0.000000,0,9.014000,-0.275600,0.000000,0.000000,1.000000,1.000000,3794.153809,0.000000,0.010638,0.010638,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
11,1777369188.090336,39.639999,0.000000,0,8.894100,-0.257100,1.000000,0.000000,1.000000,1.000000,3675.153809,0.000000,0.011206,0.011206,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
12,1777369188.100337,39.639999,0.000000,0,8.790300,-0.291300,1.000000,0.000000,1.000000,1.000000,3573.153809,0.000000,0.011718,0.011718,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000,77,Plastic,1,0.000000,0.000000,0.000000
